Julian date,Count corrected [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours],Velocity phase angle [deg],Velocity inclination [deg],V_X (HAE) [km/s],V_Y (HAE) [km/s],V_Z (HAE) [km/s],Deviation angle [deg],Area front [m^2],Area side [m^2]
2459805.2917150925,15.0,-21.012405478017442,16.165727299680686,0.6110957206273799,7.239058014814814,124.16711842580673,-2.5142450551672066,-14.874672594549903,21.91445831164128,-1.1629940724445633,0.5702692927426095,6.11,4.62
2459805.625048426,6.0,-21.376269808060925,16.273291725223647,0.6070155370926373,3.9768215703703698,124.75233464973998,-2.5373482145323916,-15.29923744508517,22.051840980473408,-1.1893601019316453,0.0,6.11,4.62
2459805.9583817595,10.0,-21.744439537746786,16.38424431490432,0.6028648917635212,4.489458725925926,125.33372625827384,-2.5600378709798854,-15.730209515858894,22.188865365002936,-1.216090038671281,0.2947505664483941,6.11,4.62
2459806.2917150925,1.0,-22.11706578123951,16.49871878475935,0.5986429413424141,0.9009986370370372,125.91153622231032,-2.582326193770204,-16.167823481363357,22.325507055737297,-1.2431970438938869,0.5934728809862737,6.11,4.62
2459806.625048426,9.0,-22.494306398084152,16.61685670869793,0.5943488127669811,3.4331154962962955,126.48600869346294,-2.6042250728330965,-16.612325708789943,22.46173893863126,-1.270694930399138,0.0,6.11,4.62
2459806.9583817595,3.0,-22.87632634801299,16.738808072389222,0.5899816019595732,0.8077918814814814,127.05738931336812,-2.6257460781174657,-17.063974990077373,22.59753090870821,-1.2985981799874555,0.305827932186261,6.11,4.62
2459807.2917150925,20.0,-23.263298141309463,16.864731880979637,0.5855403723445167,6.741955318518517,127.62592564118624,-2.646900465493078,-17.523043402204035,22.73284957481291,-1.326921987980263,0.619288241609088,6.11,4.62
2459807.625048426,17.0,-23.655402346769556,16.994796955224658,0.581024153333989,3.9768215703703698,128.19186742305402,-2.6676991919228628,-17.989817222745117,22.867658067123646,-1.3556823205315671,0.0,6.11,4.62
2459807.9583817595,33.0,-24.052828056915516,17.12918257359967,0.5764319388231167,8.000246518518516,128.75546715172305,-2.688152951739594,-18.464597907856945,23.001915581220224,-1.3848959783449062,0.320816076980128,6.11,4.62
2459808.2917150925,3.0,-24.455773465439115,17.26807925215179,0.5717626854121622,0.8388607999999999,129.3169806471118,-2.7082720989755624,-18.947703211455707,23.135576966150442,-1.4145806111322123,0.6477052055560595,6.11,4.62
2459808.625048426,35.0,-24.864446457747867,17.411689788782336,0.5670153105890521,7.31673031111111,129.87666734109345,-2.7280667161256362,-19.43946831533034,23.26859243902027,-1.444754814850561,0.0,6.11,4.62
2459808.9583817595,38.0,-25.279065236814507,17.560230186665574,0.5621886908969183,8.000246518518516,130.4347909225886,-2.747546648362805,-19.94024710893455,23.400907050194288,-1.4754382123962126,0.3363002785831761,6.11,4.62
2459809.2917150925,33.0,-25.69985899964742,17.713930804067807,0.5572816597998376,8.000246518518516,130.991619848159,-2.7667214291167896,-20.450413558893057,23.53246021356722,-1.5066514859713513,0.6807005281685097,6.11,4.62
2459809.625048426,33.0,-26.127068724229254,17.8730374565027,0.5522930054798246,7.938108681481481,131.54742819427,-2.7856003323023235,-20.970363293981197,23.663185036967807,-1.5384164802861406,0.0,6.11,4.62
